"SAMPLE_ID","STATION_ID","DEPTH","DATE","CELL","NGVD29","COLLECT_METHOD","MATRIX","Position","ALKALINITY, TOT, CACO3","AMMONIA-N","CALCIUM","CARBON, DISSOLVED ORGANIC","CHLORIDE","CHLOROPHYLL-A(LC)","CHLOROPHYLL-B (LC)","DEPTH, TOTAL","DISSOLVED OXYGEN","HARDNESS AS CACO3","MAGNESIUM","NITRATE+NITRITE-N","NO BOTTLE SAMPLE","PH, FIELD","PHEOPHYTIN-A(LC)","PHOSPHATE, DISSOLVED AS P","PHOSPHATE, ORTHO AS P","PHOSPHATE, TOTAL AS P","POTASSIUM","SODIUM","SP CONDUCTIVITY, FIELD","SULFATE","TEMP","TOTAL NITROGEN","TOTAL SUSPENDED SOLIDS","TURBIDITY","VOLATILE SUSPENDED SOLIDS","Name","PHOSPHATE, PARTICULATE AS P","PHOSPHATE,DISSOLVED ORGANIC AS P","NA:CL","K:CL","CA:CL","SO4:CL","MG:CL","CA+MG","NA+K","CL+SO4","BICARBONATE","Ionic Strength","Cation Total meq","Anion Total meq","Cation/Anion"
"P102810-18","L8CELL7",4.6,2019-01-29,"L8CELL7",-22.041864,"G","SW","Bottom",NA,NA,NA,NA,NA,NA,NA,9.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L8CELL7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P102810-19","L8CELL7",8.7,2019-01-29,"L8CELL7",-35.493308,"G","SW","Bottom",237,0.176,101.2,NA,296,NA,NA,NA,7.63,354.2,24.6,0.715,NA,8,NA,0.039,0.032,0.37,8.8,196.3,1755,166,17.8,2.31,44,NA,NA,"L8CELL7",0.331,0.007,0.663175675675676,0.0297297297297297,0.341891891891892,0.560810810810811,0.0831081081081081,125.8,205.1,462,473.999999005569,25.88625,15.8474456854331,16.5440664175791,0.958
"P102810-2","L8CELL12",0.5,2019-01-29,"L8CELL12",-8.59042,"G","SW","Top",240,0.034,107,NA,277,NA,NA,10.09,7.74,363.2,23.3,0.087,NA,8.2,NA,0.008,0.002,0.273,8.5,198,1761,158,18.5,1.18,16,NA,NA,"L8CELL12",0.265,0.006,0.714801444043321,0.0306859205776173,0.386281588447653,0.570397111913357,0.084115523465704,130.3,206.5,435,479.99999842905,25.97475,16.0883189140479,15.9015137126054,1.012
"P102810-20","L8FEBIN",NA,2019-01-29,"L8FEBIN",NA,"G","SW","Top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L8FEBIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P102810-21","L8FEBOUT",0.5,2019-01-29,"L8FEBOUT",-8.59042,"G","SW","Top",237,0.017,107.3,NA,297,NA,NA,NA,8.82,363.2,23.1,0.096,NA,8.2,NA,0.007,0.002,0.242,8.5,194.7,1729,168,19.3,1.17,15,NA,NA,"L8FEBOUT",0.235,0.005,0.655555555555556,0.0286195286195286,0.361279461279461,0.565656565656566,0.0777777777777778,130.4,203.2,465,473.99999842905,25.50275,15.9423455235134,16.6139158035558,0.96
"P102810-3","L8CELL12",5,2019-01-29,"L8CELL12",-23.3542,"G","SW","Mid",242,0.034,108,NA,293,NA,NA,10.09,7.38,366.9,23.6,0.086,NA,8.1,NA,0.007,0.002,0.301,8.6,196.5,1772,168,18.3,1.18,18,NA,NA,"L8CELL12",0.294,0.005,0.670648464163823,0.0293515358361775,0.368600682593857,0.573378839590444,0.0805460750853242,131.6,205.1,461,483.999998749888,26.137,16.1002092624024,16.601040840706,0.97
"P102810-4","L8CELL12",9,2019-01-29,"L8CELL12",-36.47756,"G","SW","Bottom",248,0.05,110.1,NA,282,NA,NA,10.09,7.26,375.2,24.4,0.076,NA,8.1,NA,0.007,0.002,0.388,8.7,206.6,1786,160,18.3,1.22,27,NA,NA,"L8CELL12",0.381,0.005,0.732624113475177,0.0308510638297872,0.390425531914894,0.567375886524823,0.0865248226950355,134.5,215.3,442,495.999998749888,26.3435,16.7136012840307,16.2441341030153,1.029
"P102810-5","L8CELL3",0.5,2019-01-29,"L8CELL3",-8.59042,"G","SW","Top",239,0.021,106.4,NA,301,NA,NA,10.66,8.33,360.2,22.9,0.098,NA,8.2,NA,0.008,0.002,0.258,8.4,194.6,1730,172,18.7,1.17,15,NA,NA,"L8CELL3",0.25,0.006,0.646511627906977,0.027906976744186,0.353488372093023,0.571428571428571,0.0760797342192691,129.3,203,473,477.99999842905,25.5175,15.8742955003191,16.8500160713285,0.942
"P102810-6","L8CELL3",5,2019-01-29,"L8CELL3",-23.3542,"G","SW","Mid",239,0.023,106.3,NA,278,NA,NA,10.66,8.06,359.9,22.9,0.097,NA,8.2,NA,0.006,0.003,0.27,8.5,194.6,1730,159,18.4,1.19,15,NA,NA,"L8CELL3",0.264,0.003,0.7,0.0305755395683453,0.382374100719424,0.571942446043165,0.0823741007194245,129.2,203.1,437,477.99999842905,25.5175,15.8719738960069,15.9305507747505,0.996
"P102810-7","L8CELL3",9.9,2019-01-29,"L8CELL3",-39.430316,"G","SW","Bottom",238,0.023,107.3,NA,291,NA,NA,10.66,7.71,363.2,23.1,0.097,NA,8.2,NA,0.008,0.002,0.289,8.5,196.2,1729,167,18.1,1.19,15,NA,NA,"L8CELL3",0.281,0.006,0.674226804123711,0.0292096219931271,0.36872852233677,0.573883161512027,0.0793814432989691,130.4,204.7,458,475.99999842905,25.50275,16.0079267333411,16.4438350178565,0.973
"P102810-8","L8CELL4",0.5,2019-01-29,"L8CELL4",-8.59042,"G","SW","Top",236,0.157,102.1,NA,289,NA,NA,9.87,8.44,356.6,24.7,0.674,NA,8.1,NA,0.037,0.027,0.214,8.8,194.6,1759,162,18.5,2.17,17,NA,NA,"L8CELL4",0.177,0.01,0.673356401384083,0.0304498269896194,0.353287197231834,0.560553633217993,0.0854671280276817,126.8,203.4,451,471.999998749888,25.94525,15.8255812485522,16.2433319188726,0.974
"P102810-9","L8CELL4",4.5,2019-01-29,"L8CELL4",-21.71378,"G","SW","Mid",239,0.156,103.6,NA,287,NA,NA,9.87,7.62,360.7,24.8,0.584,NA,8.1,NA,0.031,0.028,0.221,8.7,199.4,1800,161,17.9,2.08,20,NA,NA,"L8CELL4",0.19,0.003,0.694773519163763,0.0303135888501742,0.360975609756098,0.560975609756098,0.086411149825784,128.4,208.1,448,477.999998749888,26.55,16.1148411456981,16.2260701184141,0.993
"P102813-2","L8FEB1L",-105.27,2019-01-30,NA,-105.27,"GP","GW",NA,236,0.368,62.3,NA,87,NA,NA,NA,2.1,223.9,16.6,-0.005,NA,7.4,NA,0.008,0.006,0.02,9.8,90.3,906,45.6,25.7,0.709,NA,NA,NA,"L8FEB1",0.012,0.002,1.03793103448276,0.11264367816092,0.716091954022988,0.524137931034483,0.190804597701149,78.9,100.1,132.6,471.999999749164,13.3635,8.67348074437467,8.12168016560485,1.068
"P102813-3","L8FEB1M",-43.89,2019-01-30,NA,-43.89,"GP","GW",NA,197,0.407,74,NA,85.7,NA,NA,NA,1.7,213.4,7,-0.005,NA,7.4,NA,0.008,0.006,0.021,3.7,69.6,813,41.4,26.4,0.945,NA,NA,NA,"L8FEB1",0.013,0.002,0.812135355892649,0.0431738623103851,0.863477246207701,0.483080513418903,0.0816802800466744,81,73.3,127.1,393.999999749164,11.99175,7.41323575429803,7.2178753260723,1.027
"P102813-4","L8FEB1U",-15.98,2019-01-30,NA,-15.98,"GP","GW",NA,302,0.168,124.2,NA,22.1,NA,NA,NA,1.5,359.5,12,0.006,NA,6.9,NA,0.033,0.028,0.043,6,33.4,879,83.2,26.2,0.442,NA,NA,NA,"L8FEB1",0.01,0.005,1.51131221719457,0.271493212669683,5.61990950226244,3.76470588235294,0.542986425339366,136.2,39.4,105.3,603.999999920602,12.96525,8.80048744006552,8.39324890078403,1.049
"P102827-2","L8FEB2L",-100.26,2019-01-30,NA,-100.26,"GP","GW",NA,342,3.056,339.1,NA,168,NA,NA,NA,2.2,982.8,33,-0.005,NA,6.9,NA,0.018,0.014,0.019,6.1,128.9,2420,701,25.6,3.97,NA,NA,NA,"L8FEB2",0.001,0.004,0.767261904761905,0.0363095238095238,2.01845238095238,4.17261904761905,0.196428571428571,372.1,135,869,683.999999920602,35.695,25.5685402115886,26.1713789690763,0.977
"P102827-3","L8FEB2M",-48.63,2019-01-30,NA,-48.63,"GP","GW",NA,164,1.704,105.5,NA,206,NA,NA,NA,1.7,308.1,10.8,-0.005,NA,7.3,NA,0.01,0.008,0.013,6.1,103.4,1250,82.8,26,2.61,NA,NA,NA,"L8FEB2",0.003,0.002,0.501941747572816,0.0296116504854369,0.512135922330097,0.401941747572816,0.0524271844660194,116.3,109.5,288.8,327.999999800696,18.4375,10.9012698257589,10.8136124834346,1.008
"P102827-4","L8FEB2U",-19.95,2019-01-30,NA,-19.95,"GP","GW",NA,267,0.989,123.7,NA,141,NA,NA,NA,1.5,377.8,16.7,-0.005,NA,7,NA,0.022,0.019,0.038,6.3,96.7,1260,107,26.6,1.96,NA,NA,NA,"L8FEB2",0.016,0.003,0.685815602836879,0.0446808510638298,0.877304964539007,0.75886524822695,0.118439716312057,140.4,103,248,533.999999900056,18.585,11.968885426555,11.543072166014,1.037
"P102828-2","L8FEB3L",-95.17,2019-01-30,NA,-95.17,"GP","GW",NA,605,0.726,190,NA,2320,NA,NA,NA,NA,872.1,96.6,-0.005,NA,6.9,NA,0.025,0.022,0.026,17.2,1540.4,9229,552,25.1,1.54,NA,NA,NA,"L8FEB3",0.000999999999999997,0.003,0.663965517241379,0.00741379310344828,0.0818965517241379,0.237931034482759,0.0416379310344828,286.6,1557.6,2872,1209.9999999206,136.12775,84.9144878984888,89.0322666538036,0.954
"P102828-3","L8FEB3M",-57.97,2019-01-30,NA,-57.97,"GP","GW",NA,330,4.876,142.8,NA,142,NA,NA,NA,NA,589.6,56.6,-0.005,NA,7.2,NA,0.013,0.01,0.019,8.4,105.4,1712,286,25,5.7,NA,NA,NA,"L8FEB3",0.006,0.003,0.742253521126761,0.0591549295774648,1.0056338028169,2.01408450704225,0.398591549295775,199.4,113.8,428,659.999999841651,25.252,16.8522068718782,16.5576145055401,1.018
"P102828-4","L8FEB3U",-30.93,2019-01-30,NA,-30.93,"GP","GW",NA,391,2.126,222,NA,78.9,NA,NA,NA,NA,659.5,25.5,-0.005,NA,6.9,NA,0.017,0.012,0.018,4.8,60.9,1526,263,24.3,2.95,NA,NA,NA,"L8FEB3",0.000999999999999997,0.005,0.771863117870722,0.0608365019011407,2.81368821292776,3.33333333333333,0.32319391634981,247.5,65.7,341.9,781.999999920602,22.5085,16.0654573590875,15.5182875348492,1.035
"P102829-2","L8FEB4L",-90.39,2019-01-30,NA,-90.39,"GP","GW",NA,176,0.482,112.7,NA,296,NA,NA,NA,NA,360.1,19.1,-0.005,NA,7.3,NA,0.006,0.004,0.008,6.6,188.5,1736,158,24.9,1.34,NA,NA,NA,"L8FEB4",0.002,0.002,0.636824324324324,0.0222972972972973,0.380743243243243,0.533783783783784,0.064527027027027,131.8,195.1,454,351.999999800696,25.606,15.5902138494976,15.1579916573936,1.029
"P102829-3","L8FEB4M",-43.89,2019-01-30,NA,-43.89,"GP","GW",NA,154,0.194,94,NA,284,NA,NA,NA,NA,305.5,17.2,-0.005,NA,7.4,NA,0.007,0.006,0.022,7.2,184.7,1608,170,24.8,0.916,NA,NA,NA,"L8FEB4",0.015,0.001,0.650352112676056,0.0253521126760563,0.330985915492958,0.598591549295775,0.0605633802816901,111.2,191.9,454,307.999999749164,23.718,14.3348492571351,14.6295064980867,0.98
"P102829-4","L8FEB4U",-18.89,2019-01-30,NA,-18.89,"GP","GW",NA,269,0.241,172.3,NA,232,NA,NA,NA,NA,510.4,19.4,-0.005,NA,6.9,NA,0.025,0.02,0.05,6.9,153.1,1733,252,24.5,1.07,NA,NA,NA,"L8FEB4",0.025,0.005,0.659913793103448,0.0297413793103448,0.742672413793103,1.08620689655172,0.0836206896551724,191.7,160,484,537.999999920602,25.56175,17.0433927459192,17.1689984328757,0.993
"P102830-2","L8FEB5L",-90.24,2019-01-30,NA,-90.24,"GP","GW",NA,322,0.539,82.4,NA,151,NA,NA,NA,2.7,282.8,18.7,-0.005,NA,7.2,NA,0.008,0.006,0.012,9.4,177.9,1386,78.4,24.7,1.18,NA,NA,NA,"L8FEB5",0.004,0.002,1.17814569536424,0.0622516556291391,0.545695364238411,0.519205298013245,0.123841059602649,101.1,187.3,229.4,643.999999841651,20.4435,13.659010520414,12.3292586189502,1.108
"P102830-3","L8FEB5M",-39.22,2019-01-30,NA,-39.22,"GP","GW",NA,278,1.285,123.2,NA,58,NA,NA,NA,0.15,335.7,6.8,-0.005,NA,7,NA,0.01,0.006,0.012,5.1,36.4,887,50.7,24.8,2.26,NA,NA,NA,"L8FEB5",0.002,0.004,0.627586206896552,0.0879310344827586,2.12413793103448,0.874137931034483,0.117241379310345,130,41.5,108.7,555.999999900056,13.08325,8.49218043786912,8.24947433856415,1.029
"P102830-4","L8FEB5U",-20.12,2019-01-30,NA,-20.12,"GP","GW",NA,240,0.48,91.5,NA,40.9,NA,NA,NA,0.13,273,10.8,-0.005,NA,7.1,NA,0.01,0.007,0.034,6.1,25.4,696,20.2,25.3,1.17,NA,NA,NA,"L8FEB5",0.024,0.003,0.621026894865526,0.149144254278729,2.23716381418093,0.493887530562347,0.264058679706602,102.3,31.5,61.1,479.999999874196,10.266,6.74188699408066,6.37238890315245,1.058
"P102831-2","PZ5A",10.74,2019-02-12,NA,10.74,"GP","GW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PZ5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P102831-3","PZ5B",-4.47,2019-02-12,NA,-4.47,"GP","GW",NA,148,0.407,48.8,NA,49.9,NA,NA,NA,0.27,163.3,10,0.012,NA,7.5,NA,0.013,0.01,0.019,4.6,36,516,23.8,27.9,1,NA,NA,NA,"PZ5",0.006,0.003,0.721442885771543,0.0921843687374749,0.977955911823647,0.476953907815631,0.200400801603206,58.8,40.6,73.7,295.999999684331,7.611,4.96401206241349,4.86195646554649,1.021
"P102831-4","PZ5C",-24.39,2019-02-12,NA,-24.39,"GP","GW",NA,161,0.53,49.3,NA,81.4,NA,NA,NA,0.12,165.6,10.3,-0.005,NA,7.4,NA,0.005,0.002,0.053,4.8,55.8,651,24.5,27.1,1.21,NA,NA,NA,"PZ5",0.048,0.003,0.685503685503685,0.058968058968059,0.605651105651106,0.300982800982801,0.126535626535627,59.6,60.6,105.9,321.999999749164,9.60225,5.886858495115,6.02500218996501,0.977
"P102831-5","PZ5D",-44.29,2019-02-12,NA,-44.29,"GP","GW",NA,212,0.52,66.9,NA,88.8,NA,NA,NA,0.12,228.6,14.9,-0.005,NA,8.2,NA,0.009,0.006,0.424,4.9,67,793,49.3,26.5,1.16,NA,NA,NA,"PZ5",0.415,0.003,0.754504504504505,0.0551801801801802,0.753378378378379,0.55518018018018,0.167792792792793,81.8,71.9,138.1,423.99999842905,11.69675,7.63273980814449,7.76968301565698,0.982
"P102839-10","L8CELL4",8,2019-02-27,"L8CELL4",-36.69672,"G","SW","Bottom",241,0.121,102.7,18.7,274,NA,NA,8.7,0.15,355,23.9,1.311,NA,7.6,NA,0.051,0.044,0.391,8.9,182.1,1733,158,19.3,2.79,29,NA,NA,"L8CELL4",0.34,0.007,0.664598540145985,0.0324817518248175,0.374817518248175,0.576642335766423,0.0872262773722628,126.6,191,432,481.999999602778,25.56175,15.2465283910034,15.8368794816715,0.963
"P102839-11","L8CELL5",0.5,2019-02-27,"L8CELL5",-12.09042,"G","SW","Top",223,0.018,98.5,20.3,225,NA,NA,8.6,9.64,336.8,22,1.436,NA,8.7,NA,0.01,0.002,0.058,8.6,146.8,1449,144,24,3.17,7,NA,NA,"L8CELL5",0.048,0.008,0.652444444444444,0.0382222222222222,0.437777777777778,0.64,0.0977777777777778,120.5,155.4,369,445.999995124953,21.37275,13.3317338071841,13.8033104444013,0.966
"P102839-12","L8CELL5",4.2,2019-02-27,"L8CELL5",-24.229528,"G","SW","Mid",214,0.026,98.8,19.4,231,NA,NA,8.6,7.86,336.9,21.9,1.245,NA,8.6,NA,0.01,0.002,0.054,8.6,149.8,1464,146,23.6,2.86,6,NA,NA,"L8CELL5",0.044,0.008,0.648484848484849,0.0372294372294372,0.427705627705628,0.632034632034632,0.0948051948051948,120.7,158.4,377,427.999996105747,21.594,13.4694174778875,13.8342755251438,0.974
"P102839-13","L8CELL5",8,2019-02-27,"L8CELL5",-36.69672,"G","SW","Bottom",237,0.109,103.1,18.7,284,NA,NA,8.6,0.12,354,23.4,1.151,NA,7.6,NA,0.043,0.036,0.315,8.8,180,1719,166,19.2,2.59,24,NA,NA,"L8CELL5",0.272,0.007,0.633802816901408,0.0309859154929578,0.363028169014084,0.584507042253521,0.0823943661971831,126.5,188.8,450,473.999999602778,25.35525,15.1307823294713,16.2055614810488,0.934
"P102839-14","L8CELL6",0.5,2019-02-27,"L8CELL6",-12.09042,"G","SW","Top",226,0.018,101.5,21.2,207,NA,NA,8.2,9.72,346.3,22.6,1.794,NA,8.6,NA,0.01,0.002,0.069,8.8,138.6,1405,141,23.5,3.63,10,NA,NA,"L8CELL6",0.059,0.008,0.669565217391304,0.042512077294686,0.490338164251208,0.681159420289855,0.109178743961353,124.1,147.4,348,451.999996105747,20.72375,13.1792195666893,13.2930680873032,0.991
"P102839-15","L8CELL6",6.5,2019-02-27,"L8CELL6",-31.77546,"G","SW","Mid",228,0.028,102.5,20.6,205,NA,NA,8.2,0.87,349.2,22.6,1.824,NA,7.6,NA,0.02,0.012,0.094,8.7,147.4,1624,136,20.2,3.55,8,NA,NA,"L8CELL6",0.074,0.008,0.719024390243902,0.0424390243902439,0.5,0.663414634146341,0.110243902439024,125.1,156.1,341,455.999999602778,23.954,13.6099083459642,13.1725330011142,1.033
"P102839-16","L8CELL6",7.6,2019-02-27,"L8CELL6",-35.384384,"G","SW","Bottom",248,0.203,108.3,19.6,313,NA,NA,8.2,0.01,382.4,27.2,1.471,NA,7.4,NA,0.112,0.103,0.253,9.6,219,2057,169,19.2,3.05,14,NA,NA,"L8CELL6",0.141,0.00900000000000001,0.699680511182109,0.0306709265175719,0.346006389776358,0.539936102236422,0.0869009584664537,135.5,228.6,482,495.999999749164,30.34075,17.4250267312785,17.3059880747485,1.007
"P102839-17","L8CELL7",0.5,2019-02-27,"L8CELL7",-12.09042,"G","SW","Top",225,0.018,99.3,20.1,208,NA,NA,8.6,9.61,338.7,22,1.762,NA,8.7,NA,0.011,0.002,0.075,8.6,138.6,1418,139,23.8,3.5,8,NA,NA,"L8CELL7",0.064,0.009,0.666346153846154,0.0413461538461538,0.477403846153846,0.668269230769231,0.105769230769231,121.3,147.2,347,449.999995124953,20.9155,13.0149616357499,13.2596441875494,0.982
"P102839-18","L8CELL7",4,2019-02-27,"L8CELL7",-23.57336,"G","SW","Mid",226,0.027,102.8,20.3,204,NA,NA,8.6,8.16,350.8,22.9,1.819,NA,8.6,NA,0.01,0.002,0.08,8.9,143.7,1426,137,23.4,3.48,9,NA,NA,"L8CELL7",0.07,0.008,0.704411764705882,0.0436274509803922,0.503921568627451,0.67156862745098,0.112254901960784,125.7,152.6,341,451.999996105747,21.0335,13.4936727214155,13.1251605706388,1.028
"P102839-19","L8CELL7",7.5,2019-02-27,"L8CELL7",-35.0563,"G","SW","Bottom",239,0.109,106.7,19.2,252,NA,NA,8.6,0.12,371.4,25.5,1.577,NA,7.5,NA,0.073,0.065,0.327,9.4,192.3,1853,145,19.3,3.08,25,NA,NA,"L8CELL7",0.254,0.00799999999999999,0.763095238095238,0.0373015873015873,0.423412698412698,0.575396825396825,0.101190476190476,132.2,201.7,397,477.999999684331,27.33175,16.0335752213113,14.905638923407,1.076
"P102839-2","L8CELL12",0.5,2019-02-27,"L8CELL12",-12.09042,"G","SW","Top",224,0.019,97.5,19.2,231,NA,NA,8.7,9.42,334.5,22.1,0.874,NA,8.8,NA,0.01,0.003,0.077,8.5,155,1491,142,24.9,2.73,8,NA,NA,"L8CELL12",0.067,0.007,0.670995670995671,0.0367965367965368,0.422077922077922,0.614718614718615,0.0956709956709957,119.6,163.5,373,447.999993905758,21.99225,13.6442508964372,13.9509142745993,0.978
"P102839-20","L8FEBIN",0.5,2019-02-27,"L8FEBIN",-12.09042,"G","SW","Top",227,0.019,105.8,20.9,195,NA,NA,7.9,10.1,360.6,23.4,1.775,NA,8.7,NA,0.01,0.002,0.076,9,143,1407,135,23.6,3.64,10,NA,NA,"L8FEBIN",0.066,0.008,0.733333333333333,0.0461538461538462,0.542564102564103,0.692307692307692,0.12,129.2,152,330,453.999995124953,20.75325,13.6561733713255,12.8496332301739,1.063
"P102839-21","L8FEBOUT",0.5,2019-02-27,"L8FEBOUT",-12.09042,"G","SW","Top",222,0.019,99.9,18.4,221,NA,NA,9.6,10.9,341.9,22.4,0.788,NA,8.8,NA,0.008,0.002,0.062,8.6,160,1498,136,24.6,2.51,9,NA,NA,"L8FEBOUT",0.054,0.006,0.723981900452489,0.0389140271493213,0.452036199095023,0.615384615384615,0.101357466063348,122.3,168.6,357,443.999993905758,22.0955,14.0087454452385,13.5039208972956,1.037
"P102839-3","L8CELL12",6.5,2019-02-27,"L8CELL12",-31.77546,"G","SW","Mid",229,0.039,100.8,19.2,251,NA,NA,8.7,0.08,344.9,22.6,1.306,NA,7.7,NA,0.019,0.011,0.114,8.6,169.7,1626,150,20.3,2.69,8,NA,NA,"L8CELL12",0.095,0.008,0.67609561752988,0.0342629482071713,0.401593625498008,0.597609561752988,0.0900398406374502,123.4,178.3,401,457.999999500215,23.9835,14.4931593961589,14.7816117498736,0.98
